player_id,player_name,team,date,opponent,result,rushing_attempts,rushing_yards,rushing_avg,rushing_td,rushing_lng,receiving_receptions,receiving_targets,receiving_yards
3929630,Saquon Barkley,phi,Thu 10/9,@NYG,L34-17,12.0,58.0,4.8,0.0,18.0,2,3.0,9.0
3929630,Saquon Barkley,phi,Sun 10/19,@MIN,W28-22,18.0,44.0,2.4,0.0,9.0,1,1.0,-2.0
3929630,Saquon Barkley,phi,Sun 10/26,vsNYG,W38-20,14.0,150.0,10.7,1.0,65.0,4,5.0,24.0
3929630,Saquon Barkley,phi,Mon 11/10,@GB,W10-7,22.0,60.0,2.7,0.0,15.0,3,3.0,41.0
3929630,Saquon Barkley,phi,Sun 11/16,vsDET,W16-9,26.0,83.0,3.2,0.0,14.0,1,2.0,7.0
3929630,Saquon Barkley,phi,Sun 11/23,@DAL,L24-21,10.0,22.0,2.2,0.0,7.0,7,8.0,52.0
3929630,Saquon Barkley,phi,Fri 11/28,vsCHI,L24-15,13.0,56.0,4.3,0.0,15.0,0,2.0,0.0
3929630,Saquon Barkley,phi,Regular Season Stats,198,740,,,,,,259,,
4427728,Bam Knight,ari,Sun 9/14,vsCAR,W27-22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4427728,Bam Knight,ari,Thu 9/25,vsSEA,L23-20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4427728,Bam Knight,ari,Sun 10/5,vsTEN,L22-21,4.0,11.0,2.8,1.0,10.0,1,1.0,13.0
4427728,Bam Knight,ari,Sun 10/12,@IND,L31-27,11.0,34.0,3.1,1.0,7.0,1,2.0,20.0
4427728,Bam Knight,ari,Sun 10/19,vsGB,L27-23,14.0,57.0,4.1,0.0,9.0,3,4.0,7.0
4427728,Bam Knight,ari,Mon 11/3,@DAL,W27-17,9.0,27.0,3.0,0.0,17.0,2,2.0,20.0
4427728,Bam Knight,ari,Sun 11/9,@SEA,L44-22,10.0,28.0,2.8,0.0,11.0,1,4.0,5.0
4427728,Bam Knight,ari,Sun 11/16,vsSF,L41-22,5.0,24.0,4.8,1.0,7.0,4,4.0,21.0
4427728,Bam Knight,ari,Sun 11/23,vsJAX,L27-24 OT,10.0,12.0,1.2,1.0,6.0,4,5.0,20.0
4427728,Bam Knight,ari,Sun 11/30,@TB,L20-17,11.0,62.0,5.6,0.0,16.0,3,3.0,36.0
4427728,Bam Knight,ari,Regular Season Stats,74,255,,,,,,142,,
4430968,Kimani Vidal,lac,Sun 9/28,@NYG,L21-18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4430968,Kimani Vidal,lac,Sun 10/5,vsWSH,L27-10,4.0,18.0,4.5,0.0,11.0,1,1.0,1.0
4430968,Kimani Vidal,lac,Sun 10/12,@MIA,W29-27,18.0,124.0,6.9,0.0,38.0,3,4.0,14.0
4430968,Kimani Vidal,lac,Sun 10/19,vsIND,L38-24,9.0,20.0,2.2,0.0,5.0,4,5.0,15.0
4430968,Kimani Vidal,lac,Thu 10/23,vsMIN,W37-10,23.0,117.0,5.1,1.0,21.0,1,2.0,10.0
4430968,Kimani Vidal,lac,Sun 11/2,@TEN,W27-20,12.0,30.0,2.5,0.0,7.0,0,1.0,0.0
4430968,Kimani Vidal,lac,Sun 11/9,vsPIT,W25-10,25.0,95.0,3.8,1.0,12.0,1,1.0,13.0
4430968,Kimani Vidal,lac,Sun 11/16,@JAX,L35-6,5.0,13.0,2.6,0.0,4.0,2,2.0,-1.0
4430968,Kimani Vidal,lac,Sun 11/30,vsLV,W31-14,25.0,126.0,5.0,1.0,59.0,1,1.0,11.0
4430968,Kimani Vidal,lac,Regular Season Stats,121,543,,,,,,63,,
3117251,Christian McCaffrey,sf,Sun 9/7,@SEA,W17-13,22.0,69.0,3.1,0.0,13.0,9,10.0,73.0
3117251,Christian McCaffrey,sf,Sun 9/14,@NO,W26-21,13.0,55.0,4.2,0.0,10.0,6,7.0,52.0
3117251,Christian McCaffrey,sf,Sun 9/21,vsARI,W16-15,17.0,52.0,3.1,0.0,15.0,10,15.0,88.0
3117251,Christian McCaffrey,sf,Sun 9/28,vsJAX,L26-21,17.0,49.0,2.9,0.0,11.0,6,11.0,92.0
3117251,Christian McCaffrey,sf,Thu 10/2,@LAR,W26-23 OT,22.0,57.0,2.6,0.0,8.0,8,9.0,82.0
3117251,Christian McCaffrey,sf,Sun 10/12,@TB,L30-19,17.0,54.0,3.2,1.0,11.0,7,8.0,57.0
3117251,Christian McCaffrey,sf,Sun 10/19,vsATL,W20-10,24.0,129.0,5.4,2.0,15.0,7,8.0,72.0
3117251,Christian McCaffrey,sf,Sun 10/26,@HOU,L26-15,8.0,25.0,3.1,0.0,9.0,3,6.0,43.0
3117251,Christian McCaffrey,sf,Sun 11/2,@NYG,W34-24,28.0,106.0,3.8,1.0,16.0,5,6.0,67.0
3117251,Christian McCaffrey,sf,Sun 11/9,vsLAR,L42-26,12.0,30.0,2.5,0.0,5.0,8,10.0,66.0
3117251,Christian McCaffrey,sf,Sun 11/16,@ARI,W41-22,13.0,81.0,6.2,2.0,20.0,5,6.0,40.0
3117251,Christian McCaffrey,sf,Mon 11/24,vsCAR,W20-9,24.0,89.0,3.7,1.0,17.0,7,7.0,53.0
3117251,Christian McCaffrey,sf,Sun 11/30,@CLE,W26-8,20.0,53.0,2.7,1.0,7.0,4,4.0,21.0
3117251,Christian McCaffrey,sf,Regular Season Stats,237,849,,,,,,806,,
4569987,Jaylen Warren,pit,Sun 9/7,@NYJ,W34-32,11.0,37.0,3.4,0.0,9.0,2,2.0,22.0
4569987,Jaylen Warren,pit,Sun 9/14,vsSEA,L31-17,14.0,48.0,3.4,0.0,9.0,4,4.0,86.0
4569987,Jaylen Warren,pit,Sun 9/21,@NE,W21-14,18.0,47.0,2.6,0.0,11.0,5,6.0,34.0
4569987,Jaylen Warren,pit,Sun 10/12,vsCLE,W23-9,11.0,52.0,4.7,0.0,11.0,2,2.0,11.0
4569987,Jaylen Warren,pit,Thu 10/16,@CIN,L33-31,16.0,127.0,7.9,0.0,37.0,4,5.0,31.0
4569987,Jaylen Warren,pit,Sun 10/26,vsGB,L35-25,13.0,62.0,4.8,0.0,17.0,2,3.0,11.0
4569987,Jaylen Warren,pit,Sun 11/2,vsIND,W27-20,16.0,31.0,1.9,2.0,8.0,2,2.0,-2.0
4569987,Jaylen Warren,pit,Sun 11/9,@LAC,L25-10,14.0,70.0,5.0,0.0,14.0,2,2.0,21.0
4569987,Jaylen Warren,pit,Sun 11/16,vsCIN,W34-12,10.0,62.0,6.2,0.0,35.0,2,2.0,5.0
4569987,Jaylen Warren,pit,Sun 11/23,@CHI,L31-28,18.0,68.0,3.8,1.0,12.0,0,0.0,0.0
4569987,Jaylen Warren,pit,Sun 11/30,vsBUF,L26-7,10.0,35.0,3.5,1.0,12.0,2,4.0,9.0
4569987,Jaylen Warren,pit,Regular Season Stats,151,639,,,,,,228,,
4890973,Ashton Jeanty,lv,Sun 9/7,@NE,W20-13,19.0,38.0,2.0,1.0,9.0,2,2.0,2.0
4890973,Ashton Jeanty,lv,Mon 9/15,vsLAC,L20-9,11.0,43.0,3.9,0.0,13.0,3,4.0,1.0
4890973,Ashton Jeanty,lv,Sun 9/21,@WSH,L41-24,17.0,63.0,3.7,0.0,18.0,0,0.0,0.0
4890973,Ashton Jeanty,lv,Sun 9/28,vsCHI,L25-24,21.0,138.0,6.6,1.0,64.0,2,2.0,17.0
4890973,Ashton Jeanty,lv,Sun 10/5,@IND,L40-6,14.0,67.0,4.8,0.0,12.0,5,7.0,42.0
4890973,Ashton Jeanty,lv,Sun 10/12,vsTEN,W20-10,23.0,75.0,3.3,1.0,13.0,2,4.0,11.0
4890973,Ashton Jeanty,lv,Sun 10/19,@KC,L31-0,6.0,21.0,3.5,0.0,8.0,1,1.0,13.0
4890973,Ashton Jeanty,lv,Sun 11/2,vsJAX,L30-29 OT,13.0,42.0,3.2,0.0,13.0,5,5.0,47.0
4890973,Ashton Jeanty,lv,Thu 11/6,@DEN,L10-7,19.0,60.0,3.2,1.0,10.0,3,5.0,3.0
